Dataset,Source_Attack,Unseen_Attack,Fold,RF_Precision,RF_Recall,RF_F1,RF_Specificity,AE_Precision,AE_Recall,AE_F1,AE_Specificity,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Specificity,RF_Weight,AE_Weight,Decision_Threshold
KDD,DoS,Probing,1,0.9996323979904423,0.3969636514038246,0.5682641404290889,0.9999938321227161,0.6762553191489362,0.579971777529074,0.6244237217099748,0.9882686974059964,0.9981542720910559,0.6315507761179505,0.7736186445729272,0.9999506569817287,1.0,0.0,0.2
KDD,DoS,R2L,1,0.0,0.0,0.0,0.9999938321227161,0.03744939271255061,0.39431616341030196,0.06840240332768449,0.9882686974059964,0.2,0.010657193605683837,0.02023608768971332,0.9999506569817287,1.0,0.0,0.2
KDD,DoS,U2R,1,0.0,0.0,0.0,0.9999938321227161,0.0026219192448872575,0.5769230769230769,0.005220114842526535,0.9882686974059964,0.04,0.038461538461538464,0.0392156862745098,0.9999506569817287,1.0,0.0,0.2
KDD,Probing,DoS,1,0.9999696778460658,0.2717674974620832,0.42738273624869394,0.9999671046544858,0.08290653008962869,0.00026679673436676724,0.0005318818503532958,0.9882193543877251,0.9999514364536657,0.2757354550712754,0.43227231730841437,0.9999465450635394,1.0,0.0,0.4
KDD,Probing,R2L,1,0.0,0.0,0.0,0.9999671046544858,0.037298387096774195,0.39431616341030196,0.0681504221028396,0.9882193543877251,0.0,0.0,0.0,0.9999465450635394,1.0,0.0,0.4
KDD,Probing,U2R,1,0.0,0.0,0.0,0.9999671046544858,0.0026109660574412533,0.5769230769230769,0.005198405822214521,0.9882193543877251,0.0,0.0,0.0,0.9999465450635394,1.0,0.0,0.4
KDD,R2L,DoS,1,0.0,0.0,0.0,0.9999383212271609,0.09199497066219614,0.000452215314235563,0.0009000065091586938,0.9821830584858684,0.0,0.0,0.0,0.9999383212271609,1.0,0.0,0.5
KDD,R2L,Probing,1,0.0,0.0,0.0,0.9999383212271609,0.5384287616511318,0.49189820446693594,0.5141128006916543,0.9821830584858684,0.0,0.0,0.0,0.9999383212271609,1.0,0.0,0.5
KDD,R2L,U2R,1,0.03225806451612903,0.038461538461538464,0.03508771929824561,0.9999383212271609,0.0013828070984097719,0.46153846153846156,0.0027573529411764708,0.9821830584858684,0.03225806451612903,0.038461538461538464,0.03508771929824561,0.9999383212271609,1.0,0.0,0.5
KDD,U2R,DoS,1,0.0,0.0,0.0,1.0,0.07957080633166896,0.00038577365644924447,0.0007678247596318952,0.9821871704040577,0.0,0.0,0.0,0.9999856082863375,0.6000000000000001,0.3999999999999999,0.5
KDD,U2R,Probing,1,0.0,0.0,0.0,1.0,0.47715889204031137,0.38475013381343975,0.4260007542697053,0.9821871704040577,0.0,0.0,0.0,0.9999856082863375,0.6000000000000001,0.3999999999999999,0.5
KDD,U2R,R2L,1,0.0,0.0,0.0,1.0,0.022121896162528215,0.3481349911190053,0.04160033959460894,0.9821871704040577,0.125,0.0017761989342806395,0.0035026269702276708,0.9999856082863375,0.6000000000000001,0.3999999999999999,0.5
KDD,DoS,Probing,2,0.998691613240874,0.3714174492725415,0.5414627225650848,0.9999794403667839,0.6848842149989377,0.6274633837769452,0.6549175956728205,0.9878019696128622,0.9987686107690585,0.4341394579339205,0.6052096052096052,0.9999773844034623,1.0,0.0,0.4
KDD,DoS,R2L,2,0.09090909090909091,0.0017761989342806395,0.003484320557491289,0.9999794403667839,0.03575491630099139,0.3907637655417407,0.06551518761167362,0.9878019696128622,0.08333333333333333,0.0017761989342806395,0.0034782608695652175,0.9999773844034623,1.0,0.0,0.4
KDD,DoS,U2R,2,0.0,0.0,0.0,0.9999794403667839,0.003527040644944575,0.8076923076923077,0.0070234113712374585,0.9878019696128622,0.0,0.0,0.0,0.9999773844034623,1.0,0.0,0.4
KDD,Probing,DoS,2,0.9999676633949631,0.27076417692434873,0.42614092562922706,0.9999650486235325,0.10126234906695938,0.0007602161774620626,0.0015091029272609321,0.9730668804868521,0.9999438526093564,0.27518074448650126,0.43158965709302743,0.9999383211003515,1.0,0.0,0.4
KDD,Probing,R2L,2,0.0,0.0,0.0,0.9999650486235325,0.016147202403304545,0.38188277087033745,0.03098429168468079,0.9730668804868521,0.0,0.0,0.0,0.9999383211003515,1.0,0.0,0.4
KDD,Probing,U2R,2,0.0,0.0,0.0,0.9999650486235325,0.0016004877677006325,0.8076923076923077,0.0031946451661976115,0.9730668804868521,0.0,0.0,0.0,0.9999383211003515,1.0,0.0,0.4
KDD,R2L,DoS,2,0.0,0.0,0.0,0.9999671045868541,0.986103318803677,0.22359987082505603,0.3645399575615437,0.9874216163983635,0.0,0.0,0.0,0.9999157055038138,1.0,0.0,0.4
KDD,R2L,Probing,2,0.0,0.0,0.0,0.9999671045868541,0.6790978232362969,0.629993674273758,0.6536247980613893,0.9874216163983635,0.0,0.0,0.0,0.9999157055038138,1.0,0.0,0.4
KDD,R2L,U2R,2,0.0,0.0,0.0,0.9999671045868541,0.0034207525655644243,0.8076923076923077,0.006812652068126521,0.9874216163983635,0.0,0.0,0.0,0.9999157055038138,1.0,0.0,0.4
KDD,U2R,DoS,2,0.0,0.0,0.0,0.9999938321100351,0.10888825378679623,0.0009811733184723775,0.0019448221789358914,0.9679475318160324,0.16666666666666666,2.0602064429866194e-06,4.120361953195779e-06,0.9999588807335678,0.8,0.19999999999999996,0.3
KDD,U2R,Probing,2,0.0,0.0,0.0,0.9999938321100351,0.4588308803110247,0.6431803805167632,0.5355862152798881,0.9679475318160324,0.047619047619047616,4.865943263101552e-05,9.721952167995334e-05,0.9999588807335678,0.8,0.19999999999999996,0.3
KDD,U2R,R2L,2,0.25,0.0017761989342806395,0.003527336860670194,0.9999938321100351,0.013977610524318512,0.3925399644760213,0.026994014901673385,0.9679475318160324,0.16666666666666666,0.007104795737122558,0.013628620102214651,0.9999588807335678,0.8,0.19999999999999996,0.3
KDD,DoS,Probing,3,0.9992,0.3646537881368303,0.5343125022280846,0.9999876642454322,0.4802468650497268,0.5944722884531166,0.5312894107414655,0.9728161088506984,0.9992984917572781,0.4158921706972897,0.5873419461242441,0.9999876642454322,0.8,0.19999999999999996,0.4
KDD,DoS,R2L,3,0.0,0.0,0.0,0.9999876642454322,0.01687857833296156,0.40319715808170514,0.03240079931487297,0.9728161088506984,0.0,0.0,0.0,0.9999876642454322,0.8,0.19999999999999996,0.4
