Dataset,Source_Attack,Unseen_Attack,Fold,RF_Precision,RF_Recall,RF_F1,RF_Specificity,AE_Precision,AE_Recall,AE_F1,AE_Specificity,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Specificity,RF_Weight,AE_Weight,Decision_Threshold
KDD,DoS,Probing,1,0.9996323979904423,0.3969636514038246,0.5682641404290889,0.9999938321227161,0.6639065069297627,0.5500948858936304,0.6016658239974454,0.9882337461013876,0.9981542720910559,0.6315507761179505,0.7736186445729272,0.9999506569817287,1.0,0.0,0.2
KDD,DoS,R2L,1,0.0,0.0,0.0,0.9999938321227161,0.036531986531986534,0.38543516873889877,0.06673842841765339,0.9882337461013876,0.2,0.010657193605683837,0.02023608768971332,0.9999506569817287,1.0,0.0,0.2
KDD,DoS,U2R,1,0.0,0.0,0.0,0.9999938321227161,0.0026141512722202857,0.5769230769230769,0.005204718945176961,0.9882337461013876,0.04,0.038461538461538464,0.0392156862745098,0.9999506569817287,1.0,0.0,0.2
KDD,Probing,DoS,1,0.9999696778460658,0.2717674974620832,0.42738273624869394,0.9999671046544858,0.11974499308353882,0.00102546775699659,0.0020335209224892504,0.9699089826908803,0.9998862799563762,0.27624484111430386,0.4328919214934232,0.9998745864952271,0.8,0.19999999999999996,0.3
KDD,Probing,R2L,1,0.0,0.0,0.0,0.9999671046544858,0.015339074273412271,0.4049733570159858,0.029558566150256045,0.9699089826908803,0.031746031746031744,0.003552397868561279,0.006389776357827476,0.9998745864952271,0.8,0.19999999999999996,0.3
KDD,Probing,U2R,1,0.0,0.0,0.0,0.9999671046544858,0.0011601719784344502,0.6538461538461539,0.002316234075890728,0.9699089826908803,0.0,0.0,0.0,0.9998745864952271,0.8,0.19999999999999996,0.3
KDD,R2L,DoS,1,0.0,0.0,0.0,0.9999383212271609,0.09129979035639413,0.0004486099529603364,0.000892832889052444,0.9821768906085845,0.0,0.0,0.0,0.9999383212271609,1.0,0.0,0.5
KDD,R2L,Probing,1,0.0,0.0,0.0,0.9999383212271609,0.4807738380450407,0.3905892657291616,0.43101457835530377,0.9821768906085845,0.0,0.0,0.0,0.9999383212271609,1.0,0.0,0.5
KDD,R2L,U2R,1,0.03225806451612903,0.038461538461538464,0.03508771929824561,0.9999383212271609,0.0013823292247436931,0.46153846153846156,0.0027564028942230387,0.9821768906085845,0.03225806451612903,0.038461538461538464,0.03508771929824561,0.9999383212271609,1.0,0.0,0.5
KDD,U2R,DoS,1,0.0,0.0,0.0,1.0,0.09730848861283643,0.00026628168275602055,0.000531109999352806,0.9901396201821169,0.0,0.0,0.0,0.9999856082863375,0.6000000000000001,0.3999999999999999,0.5
