Dataset,Source_Attack,Unseen_Attack,Fold,RF_Precision,RF_Recall,RF_F1,RF_Specificity,AE_Precision,AE_Recall,AE_F1,AE_Specificity,Ensemble_Precision,Ensemble_Recall,Ensemble_F1,Ensemble_Specificity,RF_Weight,AE_Weight,Decision_Threshold
Kitsune,Reconnaissance,Man_in_the_Middle,2,1.0,0.9972199860999305,0.9986080582412465,1.0,0.5865064134935865,0.02903514517572588,0.05533111005240591,0.979530204697953,0.99998998006032,0.9980049900249501,0.9989964990077602,0.999990000099999,0.8,0.19999999999999996,0.4
Kitsune,Reconnaissance,DoS_DDOS,2,1.0,0.9892899464497322,0.9946161425239283,1.0,0.9714140081135619,0.6956184780923904,0.8107022982611534,0.979530204697953,0.9999899254990656,0.992599962999815,0.9962812405901836,0.999990000099999,0.8,0.19999999999999996,0.4
Kitsune,Reconnaissance,Botnet,2,1.0,0.81978,0.9009660508413105,1.0,0.47398175510728513,0.018445,0.03550819845704413,0.979530204697953,0.999987896905844,0.826225,0.9048397385878597,0.999990000099999,0.8,0.19999999999999996,0.4
Kitsune,Man_in_the_Middle,Reconnaissance,2,0.9999940935347832,0.846525,0.9168819353056815,0.9999950000499995,0.09514925373134328,0.00204,0.003994360902255639,0.98060019399806,0.9998939748249112,0.848765,0.91815204545516,0.999910000899991,0.8,0.19999999999999996,0.4
Kitsune,Man_in_the_Middle,DoS_DDOS,2,0.999994948857179,0.9898749493747468,0.9949092151748606,0.9999950000499995,0.9738248151546225,0.7217636088180441,0.8290588718408183,0.98060019399806,0.9999094335065837,0.9936599682998415,0.9967749054540712,0.999910000899991,0.8,0.19999999999999996,0.4
Kitsune,Man_in_the_Middle,Botnet,2,0.9999941224528179,0.85069,0.9193194988909572,0.9999950000499995,0.48927208108463865,0.018585,0.03580976603708146,0.98060019399806,0.9998957222968902,0.86299,0.9264121776842648,0.999910000899991,0.8,0.19999999999999996,0.4
Kitsune,DoS_DDOS,Reconnaissance,2,1.0,0.98044,0.9901234069196744,1.0,0.08873456790123457,0.0023,0.00448378041172801,0.976380236197638,0.9999747907633357,0.991675,0.9958076015464177,0.9999750002499975,1.0,0.0,0.3
Kitsune,DoS_DDOS,Man_in_the_Middle,2,1.0,0.9779498897494487,0.9888520379789073,1.0,0.6188170741547648,0.03834519172595863,0.07221552600851257,0.976380236197638,0.9999749507782794,0.9980149900749504,0.9989940090989625,0.9999750002499975,1.0,0.0,0.3
Kitsune,DoS_DDOS,Botnet,2,1.0,0.145575,0.25415184514326866,1.0,0.4797356828193833,0.02178,0.04166826095274536,0.976380236197638,0.9999738297994839,0.95526,0.9771056393313506,0.9999750002499975,1.0,0.0,0.3
Kitsune,Botnet,Reconnaissance,2,1.0,0.162015,0.27885182205048986,1.0,0.09096975088967972,0.002045,0.004000078241139191,0.9795652043479566,0.9997223507635354,0.16203,0.27886324032441967,0.9999550004499955,0.8,0.19999999999999996,0.4
Kitsune,Botnet,Man_in_the_Middle,2,1.0,0.00113000565002825,0.0022574603570982643,1.0,0.5835965359144167,0.028640143200716003,0.054600741609234844,0.9795652043479566,0.9655172413793104,0.0012600063000315002,0.002516728253270748,0.9999550004499955,0.8,0.19999999999999996,0.4
Kitsune,Botnet,DoS_DDOS,2,1.0,0.34829674148370743,0.5166470121413049,1.0,0.9731660396436146,0.7411037055185276,0.8414276225780997,0.9795652043479566,0.9999393898579029,0.7424087120435602,0.8521416744861388,0.9999550004499955,0.8,0.19999999999999996,0.4
Kitsune,Reconnaissance,Man_in_the_Middle,4,1.0,0.9972899864499323,0.9986431546903789,1.0,0.6296846882090603,0.04024020120100601,0.07564620735031488,0.9763352366476336,1.0,0.9981799908999545,0.9990891665874275,1.0,1.0,0.0,0.3
Kitsune,Reconnaissance,DoS_DDOS,4,1.0,0.9894849474247371,0.9947146860352606,1.0,0.9691043324433884,0.7423037115185576,0.8406758929987089,0.9763352366476336,1.0,0.9931349656748284,0.9965556600815303,1.0,1.0,0.0,0.3
Kitsune,Reconnaissance,Botnet,4,1.0,0.794445,0.8854492614708169,1.0,0.4779971324583655,0.02167,0.04146039307973042,0.9763352366476336,1.0,0.8558,0.9222976613859252,1.0,1.0,0.0,0.3
Kitsune,Man_in_the_Middle,Reconnaissance,4,0.9999760316861109,0.834415,0.9097242475203536,0.999980000199998,0.09623830437273248,0.00252,0.004911395118813859,0.9763352366476336,0.9998906950235006,0.96051,0.9798048061450106,0.9998950010499895,1.0,0.0,0.3
